ID RAdeg DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr z r_z ID-COSMOS2015 bibcode flag_magellean z_magellean flag_deimos z_deimos flag_sdss z_sdss
187 150.10095 2.16778 22.99 1 1 1 1 1 6 2.055 3 571036 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
188 150.09587 2.14511 22.27 1 1 1 1 1 6 1.323 3 556119 2016ApJ...817...34M True -1.0 False -1.0 False -1.0
189 150.11296 2.16486 22.53 1 1 1 1 1 6 1.927 3 568506 2016ApJ...817...34M True -1.0 False -1.0 False -1.0
190 150.13803 2.29165 17.56 1 1 1 1 1 6 0.1854433 1 649852 "HSC miscellaneous" True 0.1853 True 0.184 True 0.1854482
191 149.9698 2.18345 22.49 1 1 1 1 1 6 1.7059889 1 580884 "HSC miscellaneous" True -1.0 True 1.657 False -1.0
192 150.02856 2.20991 21.04 1 1 1 1 1 6 1.2579013 1 599948 "HSC miscellaneous" True 1.258 False -1.0 False -1.0
193 150.01821 2.25945 22.66 1 1 1 1 1 5 0.045087364 1 632339 "HSC miscellaneous" False -1.0 True 2.67 False -1.0
194 149.99363 2.25855 20.23 1 1 1 1 1 6 0.6582 1 633565 "HSC miscellaneous" True 0.6585 False -1.0 False -1.0
195 149.99391 2.30143 19.89 1 1 1 1 1 6 1.794041 1 661442 "HSC miscellaneous" True 1.7924 False -1.0 True 1.794022
196 150.00447 2.23711 21.61 1 1 1 1 1 6 1.4058626 1 617775 "HSC miscellaneous" True 1.4068 True 1.406 False -1.0
197 150.06456 2.32902 21.85 1 1 1 1 1 6 1.9582 1 678793 "HSC miscellaneous" True 0.34 True 2.444 False -1.0
198 150.09156 2.39905 21.75 1 1 1 1 1 6 2.472153 1 725867 "HSC miscellaneous" True 2.48 False -1.0 False -1.0
